plot_id,SE2025_B01_mean,SE2025_B02_mean,SE2025_B03_mean,SE2025_B04_mean,SE2025_B05_mean,SE2025_B06_mean,SE2025_B07_mean,SE2025_B08_mean,SE2025_B09_mean,SE2025_B10_mean,SE2025_B11_mean,SE2025_B12_mean,SE2025_B13_mean,SE2025_B14_mean,SE2025_B15_mean,SE2025_B16_mean,SE2025_B17_mean,SE2025_B18_mean,SE2025_B19_mean,SE2025_B20_mean,SE2025_B21_mean,SE2025_B22_mean,SE2025_B23_mean,SE2025_B24_mean,SE2025_B25_mean,SE2025_B26_mean,SE2025_B27_mean,SE2025_B28_mean,SE2025_B29_mean,SE2025_B30_mean,SE2025_B31_mean,SE2025_B32_mean,SE2025_B33_mean,SE2025_B34_mean,SE2025_B35_mean,SE2025_B36_mean,SE2025_B37_mean,SE2025_B38_mean,SE2025_B39_mean,SE2025_B40_mean,SE2025_B41_mean,SE2025_B42_mean,SE2025_B43_mean,SE2025_B44_mean,SE2025_B45_mean,SE2025_B46_mean,SE2025_B47_mean,SE2025_B48_mean,SE2025_B49_mean,SE2025_B50_mean,SE2025_B51_mean,SE2025_B52_mean,SE2025_B53_mean,SE2025_B54_mean,SE2025_B55_mean,SE2025_B56_mean,SE2025_B57_mean,SE2025_B58_mean,SE2025_B59_mean,SE2025_B60_mean,SE2025_B61_mean,SE2025_B62_mean,SE2025_B63_mean,SE2025_B64_mean,SE2025_mean_across_bands,SE2025_std_across_bands,SE2025_min_band_mean,SE2025_max_band_mean,dSE_B01_mean,dSE_B02_mean,dSE_B03_mean,dSE_B04_mean,dSE_B05_mean,dSE_B06_mean,dSE_B07_mean,dSE_B08_mean,dSE_B09_mean,dSE_B10_mean,dSE_B11_mean,dSE_B12_mean,dSE_B13_mean,dSE_B14_mean,dSE_B15_mean,dSE_B16_mean,dSE_B17_mean,dSE_B18_mean,dSE_B19_mean,dSE_B20_mean,dSE_B21_mean,dSE_B22_mean,dSE_B23_mean,dSE_B24_mean,dSE_B25_mean,dSE_B26_mean,dSE_B27_mean,dSE_B28_mean,dSE_B29_mean,dSE_B30_mean,dSE_B31_mean,dSE_B32_mean,dSE_B33_mean,dSE_B34_mean,dSE_B35_mean,dSE_B36_mean,dSE_B37_mean,dSE_B38_mean,dSE_B39_mean,dSE_B40_mean,dSE_B41_mean,dSE_B42_mean,dSE_B43_mean,dSE_B44_mean,dSE_B45_mean,dSE_B46_mean,dSE_B47_mean,dSE_B48_mean,dSE_B49_mean,dSE_B50_mean,dSE_B51_mean,dSE_B52_mean,dSE_B53_mean,dSE_B54_mean,dSE_B55_mean,dSE_B56_mean,dSE_B57_mean,dSE_B58_mean,dSE_B59_mean,dSE_B60_mean,dSE_B61_mean,dSE_B62_mean,dSE_B63_mean,dSE_B64_mean,dSE_mean_across_bands,dSE_std_across_bands,R_mean,R_std,R_max,R_p50,R_p90,G_mean,G_std,G_max,G_p50,G_p90,B_mean,B_std,B_max,B_p50,B_p90,NIR_mean,NIR_std,NDVI_mean,NDVI_std,NDVI_min,NDVI_max,NDVI_p90,GNDVI_mean,GNDVI_std,GNDVI_max,GNDVI_p50,GNDVI_p90,NDWI_mean,NDWI_std,NDWI_max,NDWI_p50,NDWI_p90,VARI_mean,VARI_std,VARI_max,VARI_p50,VARI_p90,ExG_mean,ExG_std,ExG_min,ExG_max,ExG_p50,ExG_p90,brightness_mean,brightness_std,brightness_max,brightness_p50,brightness_p90,NDVI_fraction_above_0_5,NDVI_fraction_above_0_6,brightness_p90_minus_p10,NDVI_texture_contrast,NDVI_texture_homogeneity,brightness_texture_homogeneity,CHM_mean,CHM_cv,CHM_sd,CHM_max,CHM_p90,Dead_F
Plot_1,0.5893433,0.3660939,0.6056926,0.3365999,0.0839702,0.7678848,0.4784411,0.3251263,0.7138152,0.0664454,0.8326615,0.218006,0.8841761,0.7939354,0.9245246,0.2113119,0.1966594,0.6441497,0.9389484,0.4602282,0.4271261,0.6178741,0.2603472,0.7438779,0.6579977,0.318124,0.7432775,0.6112044,0.0905594,0.7388705,0.896763,0.5159434,0.1035558,0.5645095,0.7465197,0.2472305,0.1256439,0.7500512,0.9177914,0.890954,0.238926,0.2004266,0.8724196,0.5010129,0.3989905,0.6967072,0.2746034,0.8343322,0.9922284,0.7764484,0.4177066,0.2905156,0.7144597,0.346101,0.766786,0.3492675,0.3093361,0.9415534,0.1393379,0.6095704,0.8805556,0.4443585,0.6510994,0.7320729,0.6679194,0.6568803,0.5499444,0.2782693,0.3426657,0.35287,0.5709911,0.6564601,0.5340517,0.5325155,0.5759922,0.7095548,0.6449883,0.2995459,0.65128,0.6800189,0.5270765,0.8245065,0.9068548,0.4961091,0.4363824,0.577807,0.4158184,0.2725459,0.4720389,0.6520317,0.3772291,0.5224819,0.7059195,0.3071242,0.4873814,0.5406389,0.2549993,0.6176357,0.4233813,0.5109039,0.3246494,0.3801344,0.3005396,0.3513271,0.673366,0.4532481,0.3639742,0.363863,0.5885884,0.6813472,0.570104,0.1901623,0.1486062,0.4880986,0.8161221,0.594089,0.2997944,0.7835031,0.470594,0.434011,0.2107818,0.4044526,0.4903035,0.7925472,0.5836695,0.2305996,0.4350258,0.5430286,0.8883264,0.4787992,0.6726926,0.6596687,0.2556288,0.2255244,62.5218889,27.6790942,186,53.7605743,101.4219848,70.3555065,25.4382248,164,63.0525707,108.1232792,85.5045397,27.5444174,185,78.1097223,123.2712741,253.2019851,21.5251549,0.6766063,0.1310225,0.2028302,0.8213451,0.8093078,0.5735289,0.1126181,0.7465753,0.603502,0.7265753,-0.5735289,0.1126181,-0.2171838,-0.603502,-0.4051923,0.3052794,0.6123306,16.0000000,0.222256,0.6185044,-0.6721663,11.3826057,-51,26,-5.6434781,5.4494937,117.882071,24.3762679,193,112.2329423,146.6720715,0.7820604,0.7217853,48.1889601,0.5049087,0.5957119,0.4856075,16.0039861,0.930161,9.2170197,33.2252355,27.0630953,0.6727119
Plot_2,0.175172,0.3570074,0.4484161,0.5350456,0.1141294,0.5859155,0.4745854,0.4662505,0.7974783,0.2422,0.9555,0,0.939941,0.5001133,0.9548078,0.3530276,0.4449698,0.5756519,0.4891682,0.6080763,0.4847557,0.3687291,0.1202521,0.8469534,0.8728316,0.4338785,0.9110956,0.4417973,0.245602,0.9937761,0.4446004,0.5899878,0.3533449,0.4176142,1,0.2402752,0.218414,0.8006122,0.7554741,0.6413888,0.3060367,0,0.9016318,0.3914638,0.3705202,0.7565957,0.5535577,0.8645879,1,0.7652739,0.4172157,0.4208886,0.647152,0.6208582,1,0.4271461,0.4667547,0.7486237,0.3833,0.4821938,0.79471,0.434204,0.8923056,0.668222,0.8070711,0.3133764,0.6597922,0.4291399,0.1010731,0.470906,0.3191576,0.8337489,0.5255318,0.626156,0.6697843,0.6088042,0.8514614,0.2876071,0.4582949,0.606942,0.6432522,0.7558813,0.9322497,0.5046974,0.4200205,0.8116925,0.4214914,0.9675477,0.4322483,0.9207112,0.419059,0.3902118,0.6083831,0.25065,0.876811,0.3739193,0.313634,0.7880143,0.4064115,0.6332504,0.2113553,0,0.2671432,0.6208423,0.403327,0.3473497,0.3384738,0.3831961,0.6721692,0.8325983,0.6269439,0.0663936,0.2319919,0.9411071,0.475297,0.6596409,0.4551099,0.3602379,0.2765826,0.531044,0.2888825,0.4572556,0.7483674,0.6380254,0.5969396,0.4440276,0.4111103,0.4040632,0.9810701,0.2878171,0.899648,0.4308799,0.4030419,0.5933733,61.9945271,23.6841428,167,56.7242308,95.3342453,70.7195335,21.6948812,161,65.0605506,102.1419923,91.6470722,22.5704998,182,86.1263775,122.1606576,253.0233974,22.5804496,0.6854609,0.1139743,0.2686567,0.8084145,0.8049564,0.5689965,0.0945973,0.7406143,0.5934372,0.7406143,-0.5689965,0.0945973,-0.2259615,-0.5934372,-0.4248501,0.4651235,0.7227871,16.0000000,0.2444833,1.166041,-4.5508748,8.1292838,-38,13,-11.58936,-2.4822756,119.3301122,22.1354809,186,115.7305508,143.8722938,0.8158343,0.7272116,40.6796945,0.127518,0.732049,0.6912056,25.5800869,0.7830658,7.6699025,34.5248505,31.4544349,0.7242293
Plot_3,0.5505622,0.3187364,0.2572082,0.3725275,0,0.7526973,0.4854615,0.2051208,0.7256041,0.1127115,0.7614499,0.2268027,0.8684309,0.5524095,1,0.239358,0.350663,0.4968715,0.7653811,0.356171,0.322948,0.3436729,0.2015985,0.8546879,0.7332762,0.3137509,0.7345002,0.5036218,0.1822998,0.8942554,0.7641573,0.4788527,0.398031,0.4796807,0.8336573,0.2182343,0.1488108,0.8718434,0.79074,0.720743,0.1949607,0.0973937,0.8575943,0.6509578,0.559655,0.6854385,0.2002788,0.8541467,0.9550051,0.6893488,0.4430579,0.2593712,0.5986811,0.5786021,0.8879182,0.1459675,0.393174,0.8458816,0.113424,0.5703906,0.6357258,0.4892917,0.7238053,0.9564465,0.6461308,0.7025458,0.4779812,0.1245722,0.0750578,0.3957995,0.3410871,0.74615,0.719309,0.5699823,0.5421718,0.6979166,0.7337218,0.3217847,0.4792574,0.5716383,0.5288156,0.5877036,0.7520465,0.6852246,0.4006344,0.7661195,0.3767014,0.5858463,0.5057902,0.6370025,0.3744722,0.4225776,0.7050852,0.3569732,0.6243369,0.5053053,0.4270348,0.5444427,0.5633567,0.5192374,0.3995493,0.3022826,0.249985,0.5372056,0.4086214,0.2914133,0.3308752,0.4677774,0.6499444,0.756533,0.6733379,0.2861423,0.3115609,0.5233751,0.3054358,0.6724627,0.3385682,0.5630374,0.5611554,0.3703768,0.2159202,0.5232634,0.5516124,0.670702,0.57057,0.3775262,0.3398598,0.4530567,0.4747593,0.3554118,0.5596904,0.6151772,0.3674601,0.1579043,56.3859257,22.4955978,137,51.077057,87.1860291,66.6881501,21.8817516,137,60.9830806,98.9603237,83.925656,22.7700997,165,78.9646869,115.2345339,253.3765788,20.2208496,0.6240313,0.1112295,0.281407,0.8279839,0.7606903,0.5900489,0.1018769,0.7708333,0.6089202,0.6718849,-0.5900489,0.1018769,-0.3010204,-0.6089202,-0.4406028,0.477662,0.8265415,17.0000000,0.2835712,1.0001748,-9.0733519,8.3176927,-37,19,-6.1147434,1.8553345,115.0985541,17.6602038,175,111.7549065,139.1055408,0.8737091,0.6020396,40.7696452,0.2485637,0.4762073,0.6848179,25.7557724,0.4504246,8.7397378,36.2018648,33.5500842,0.2240931
Plot_4,0.6702949,0.3339089,0.2334364,0.4783965,0.0777968,0.7784536,0.7144512,0.1763478,0.621413,0.2979,0.9762511,0.4215277,0.8618927,0.4617726,0.9311868,0.1742239,0.2808398,0.4532533,0.6599309,0.8385921,0.2975913,0.2406544,0.2734255,0.6983542,0.6910631,0.3706241,0.7888166,0.5239701,0.2694356,0.8441286,0.5989084,0.9389243,0.4560082,0.4738347,0.8635091,0.3639706,0.2300226,0.599929,0.807504,0.7598791,0.1770918,0.1411271,0.7433773,0.6166613,0.8000204,0.6749854,0.5741413,0.5467662,0.9356249,0.8027964,0.4018183,0.1497794,0.5407356,0.5273799,0.8144343,0.2114241,0.4119999,0.7793073,0.343095,0.3422179,0.6209579,0.5893277,0.852979,0.7180676,0.6814645,0.5288954,0.448733,0.3580562,0.2175959,0.0915005,0.1558801,0.9210701,0.7826578,0.5426256,0.784867,0.7214362,0.6961927,0.6133714,0.5212418,0.5373106,0.5917841,0.668441,0.8312887,0.5021644,0.4418681,0.6658569,0.3834094,0.8335149,0.3475556,0.2346925,0.304878,0.3059997,0.8274796,0.7100403,0.5794352,0.5835876,0.1519668,0.5955188,0.3321632,0.4331247,0.3934325,0.2497588,0.6667489,0.3820575,0.5055629,0.3095468,0.4813354,0.638275,0.6493516,0.5183037,0.7747625,0.4455879,0.1365766,0.4285205,0.722588,0.8203386,0.3995264,0.4960312,0.5870789,0.3461406,0.3581386,0.659636,0.7311798,0.7810802,0.4418744,0.4821814,0.2667413,0.6185816,0.8085876,0.4208006,0.5979838,0.8920776,0.5560739,0.3542635,67.7817453,25.5927882,153,64.894685,101.7457514,79.6608475,26.4804511,157,76.023124,114.0542262,88.7674372,26.4113174,191,86.048263,123.6794591,253.0798705,22.1270284,0.6138345,0.1206415,0.275,0.8149099,0.7629098,0.5298155,0.1139169,0.7346939,0.5406661,0.7238275,-0.5298155,0.1139169,-0.2378641,-0.5406661,-0.3822166,0.2783292,0.2255306,2.2857143,0.2040965,0.5649785,5.6946446,10.2593271,-28,31,3.1568215,16.1977165,122.316357,22.6077561,186,120.2425616,148.6057558,0.710203,0.5323941,47.7231507,0.7633263,0.2968698,0.3541253,16.5951919,0.8902082,8.3972956,26.6363696,24.4365787,0.482608
Plot_5,0.748509,0.3139242,0.4624887,0.371762,0.1895172,0.7193894,0.5546591,0.2257121,0.6365581,0.2293448,0.6797169,0.361296,0.7919184,0.7501201,0.8240343,0.2024745,0.1120797,0.6434694,0.9494676,0.4269675,0.322186,0.5529626,0.2904481,0.5945339,0.5423725,0.4018385,0.6051636,0.603097,0.3565984,0.6247715,0.8924251,0.772409,0.187755,0.6380551,0.7637249,0.3746534,0.1889667,0.7616642,0.8524915,0.7884291,0.3303644,0.2754961,0.773973,0.731208,0.5822833,0.6389899,0.3099031,0.7226242,0.8577954,0.5577352,0.4403042,0.3601887,0.7172698,0.3530627,0.6232337,0.3300019,0.3792605,0.9132953,0.1429935,0.5500579,0.7359606,0.6077873,0.7039586,0.6762438,0.6932424,0.5118005,0.6996122,0.2130449,0.3938741,0.1465228,0.3364348,0.608819,0.7284077,0.5443106,0.4606629,0.7814517,0.8254079,0.515099,0.6555919,0.5554451,0.4405997,0.7196103,0.699551,0.4817966,0.4337768,0.5551543,0.4152724,0.5865255,0.4046982,0.2760228,0.5324375,0.4100041,0.5963614,0.4286932,0.5483577,0.4378667,0.3045201,0.5384677,0.5524908,0.3903235,0.4750734,0.4523272,0.5572017,0.5151088,0.4105754,0.5001594,0.5252958,0.5906902,0.5384219,0.653075,0.8338421,0.4646588,0.0621286,0.2356043,0.4739135,0.8025956,0.2277766,0.7421617,0.5574939,0.465139,0.2450379,0.6137937,0.6665176,0.8623186,0.4056967,0.3105367,0.3559183,0.5726496,0.5599661,0.3978585,0.4274349,0.9283513,0.5076548,0.2260642,66.119067,24.9288967,175,60.0445671,100.1075926,76.2823696,25.1359647,181,69.9902144,110.9770526,90.3872543,26.2461022,202,84.9795761,124.1356461,253.5077613,19.4147459,0.5835759,0.1152464,0.1778291,0.8021357,0.7193786,0.5454716,0.1093618,0.7406143,0.5692813,0.652582,-0.5454716,0.1093618,-0.1697248,-0.5692813,-0.3933991,0.2748566,0.2813706,6.0000000,0.1999937,0.5455557,-5.1781662,9.6714353,-42,23,-4.0663635,7.9163306,121.5767021,20.0593505,203,117.5028681,147.5610411,0.745708,0.5122356,45.5113621,0.6211912,0.299342,0.4677032,18.5559684,0.4958566,5.8601275,26.4020536,23.6890864,0.2701481
Plot_6,0.683059,0.4868609,0.3352035,0.5098212,0.1917528,0.7499228,0.7284129,0.5140909,0.6194971,0.2671304,0.816257,0.4315987,0.8509669,0.6944023,0.9132293,0.16518,0.1292774,0.4498498,0.9814113,0.4574394,0.3718862,0.3381555,0.4361108,0.6453077,0.8760988,0.5057438,0.6660195,0.5579031,0,0.7879395,0.6206687,0.7971693,0.3279131,0.3550303,0.9981262,0.3498478,0.1836163,0.3954157,0.8576486,0.7391511,0.2606724,0.1853645,0.7951862,0.4475483,0.4789267,0.5460799,0.4495781,0.6142558,1,0.6505554,0.5013135,0.3497652,0.4625926,0.4088904,0.6560943,0.1869458,0.5104137,0.9114357,0.0253696,0.4116024,0.7406267,0.4252522,0.6723741,0.6691602,0.6523183,0.6962057,0.5855392,0.3134776,0.3604212,0.1114903,0.1870679,0.687277,0.6550254,0.7559522,0.6089403,0.6963108,0.6076043,0.3701078,0.731309,0.7736679,0.6013593,0.6334384,0.861245,0.3152875,0.4205259,0.4563668,0.4420238,0.6564139,0.3596694,0.2582522,0.5105261,0.5297557,0.7900917,0.3342915,0.4872421,0.4999402,0,0.7577546,0.3162339,0.331853,0.4020987,0.2802805,0.3385914,0.322349,0.5245683,0.260563,0.5711084,0.5743906,0.458886,0.5880041,0.7499548,0.2379022,0.1086236,0.4901226,0.6093063,0.5388861,0.3449178,0.838625,0.5397689,0.4309633,0.1484576,0.3762739,0.6526984,0.4860273,0.5037939,0.3939265,0.2510206,0.4681151,0.8130576,0.2651306,0.410095,0.7538693,0.1510856,0.4584854,65.2181432,22.0244913,163,62.0042326,95.0102183,77.3489539,23.1900624,164,73.9990707,109.9978206,89.9321085,25.338248,190,86.9980603,122.0128825,252.9749515,22.630418,0.5957743,0.1024311,0.2200957,0.7957761,0.7220769,0.5383204,0.0997416,0.7288136,0.5501568,0.6593812,-0.5383204,0.0997416,-0.2171838,-0.5501568,-0.3972561,0.261423,0.1079984,0.7777778,0.2448974,0.4000096,-0.5697843,7.2595312,-31,23,-0.0063027,7.9920538,121.3687852,19.8811404,192,119.2501329,145.5057972,0.7855343,0.523331,43.5010791,0.7327831,0.2149041,0.390319,13.6887229,0.486745,6.1298641,23.9320017,20.1856211,0.3273228
Plot_7,0.4953886,0.5478246,0.8578755,0.8213416,0.6956457,0.3304829,0.6176106,0.3941677,0.6734561,0.6114619,0.7716638,0.4737102,0.3262021,0.3253244,0.3083484,0.6531103,0.6923256,0.5175387,0.5402067,0.3349183,0.7922787,0.5960517,0.7131069,0.3129152,0.5635021,0.8689395,0.2836202,0.7889289,0.7077959,0.1434579,0.4995151,0.9021217,0.4664452,0.4505767,0.7645587,0.2815454,0.7430495,0.5477943,0.5249423,0.7939368,0.6151473,0.2971218,0.3581111,0.7736788,0.6191232,0.2632372,0.4053145,0.2166517,0.5920652,0.6775618,0.7144262,0.6465693,0.4880451,0.8264527,0.413594,0.583472,0.6332443,0.4802893,0.716511,0.4100672,0.1670297,0.9431287,0.8135534,0.5904341,0.7714909,0.5191271,0.4082123,0.3587665,0.5779692,0.4039896,0.4788293,0.5291812,0.6741577,0.3484024,0.3987789,0.5551365,0.2095571,0.5899153,0.3540305,0.4445076,0.312024,0.5541637,0.7160695,0.5459027,0.6073515,0.5061064,0.7368667,0.4240169,0.3166372,0.6817423,0.3211217,0.3664981,0.6201086,0.7462135,0.4807373,0.648833,0.5148763,0.3118535,0.540789,0.7386291,0.5590029,0.5305086,0.8499636,0.3777407,0.6842924,0.4371871,0.3613445,0.8595536,0.3223416,0.4169295,0.4420511,0.3417919,0.4245616,0.5083381,0.668935,0.5539896,0.4600291,0.4605107,0.6047518,0.3108776,0.6664442,0.8383056,0.5247862,0.8007937,0.7374143,0.6031106,0.6295041,0.8698375,0.5342637,0.900036,0.5110611,0.5661916,0.9185123,0.1032864,85.5432888,37.1609058,224,76.037206,144.0898218,96.4985413,36.782502,230,86.9918307,155.9808428,97.7194789,33.2719096,235,89.9829495,149.1132418,253.1217954,21.7747369,0.5014115,0.1514757,0.0580913,0.8149596,0.6808651,0.4623292,0.1409417,0.7288136,0.4912703,0.6078836,-0.4623292,0.1409417,-0.0515464,-0.4912703,-0.2408396,0.1833962,0.153228,1.1333333,0.1463362,0.3903283,8.7019743,10.1534647,-26,43,8.9445976,22.9301501,133.2229376,27.7971181,237,127.0027176,175.8009591,0.5704224,0.3416506,69.2594854,0.3412115,0.4094068,0.3996675,11.9455133,0.7403258,5.8634136,19.3798349,17.7743559,0.2805825
Plot_8,0.4541133,0.3928063,0.7549313,0.4545451,0.1517556,0.4480482,0.1593422,0.6814693,0.8703334,0.4154863,0.5417958,0.3717309,0.8364451,0.5253745,0.8513333,0.5564614,0.7557593,0.7697424,0.6997005,0.0569153,0.6629923,0.6248011,0.3165166,0.6214184,0.7728272,0.519488,0.4297817,0.7569813,0.5285604,0.5872931,0.7911465,0.3396787,0.4637891,0.7564719,0.5627925,0.0612218,0.5263601,0.771226,0.73192,0.867868,0.3178188,0.3333637,0.4784659,0.3154944,0.2419258,0.5937391,0,1,0.7461156,0.823316,0.9316622,0.2012828,0.4636417,0.5375491,0.8132707,0.3428346,0.4262482,0.6492082,0.4731005,1,0.3261229,0.8304953,0.8496575,0.7894283,0.9651768,0.1459521,0.6790774,0.5499602,0.615102,0.3246535,0.4837053,0.3416654,0.6126287,0.6430428,0.2799738,0.6322727,0.408174,0.5273312,0.3543664,0.5265025,0.4965797,0.6309944,0.9998788,0.5098711,0.5565453,0.1606172,0.7615434,0.1780916,0.4769869,0.4342425,0.4516219,0.4785629,0.6488406,0.5347177,0.4463341,0.4276159,0.3715577,0.6458175,0.5798098,0.2375656,0.4797338,0.4835997,0.7127104,0.4126227,0.6041791,0.31415,0.5379752,0.9337511,0.1460689,0.4885522,0.6587743,0.4842508,0.1960546,0.6431062,0.7589663,0.8138328,0.5907108,0.6114962,0.7020277,0.2546099,0.3527718,0.6905906,0.6673559,0.4670829,0.6373624,0.724456,0.0123203,0.849925,0.677706,0.7747709,0.1584937,0.7066513,0.8062422,0.3261549,69.3192322,34.7565238,187,53.1139599,132.2751189,72.84391,38.4453696,198,53.9749778,142.9413226,79.1654945,29.1978701,201,68.9477753,128.3468529,253.2548776,20.9332379,0.5565,0.1474251,0.1333333,0.7958144,0.6872838,0.5718691,0.160477,0.7832168,0.6506147,0.6556976,-0.5718691,0.160477,-0.1258278,-0.6506147,-0.2812958,0.0367659,0.0862495,1.5000000,0.0434622,0.1284637,-5.9589055,20.8258984,-58,70,-10.1696944,28.7860537,118.6524989,25.4307173,212,107.2572988,164.4060847,0.7532325,0.5925857,64.0290533,0.7167842,0.8396149,0.74277,10.5502324,0.6298046,5.7365811,21.854849,17.980802,0.1717829
Plot_9,0.367323,0.3975212,0.6294973,0.5673891,0.1775462,0.4830433,0.1389234,0.5375017,0.8977339,0.3193165,0.7172512,0.2796408,0.8137593,0.3890492,0.8144851,0.5178409,0.8407739,0.6534816,0.5446218,0.1253651,0.6878498,0.4530449,0.3445959,0.6472925,0.7858565,0.6498206,0.4463135,0.6939149,0.480767,0.685037,0.7293369,0.3161919,0.6226031,0.7537867,0.5293013,0.0261962,0.5715522,0.8619645,0.7661385,0.8757077,0.3631738,0.2365052,0.5382684,0.4964883,0.3028866,0.4400777,0.0969465,0.9290164,0.7617528,0.9168541,0.8600399,0.2875702,0.487241,0.6739112,0.9148611,0.4017919,0.5330145,0.5860698,0.5018622,0.8538769,0.4017445,0.8831625,0.8245108,0.9904426,1,0,0.7533153,0.3465537,0.8303606,0.4692485,0.6297219,0.3310587,0.663154,0.7222249,0.3233889,0.5703309,0.2946746,0.5266992,0.3791583,0.4640661,0.3928636,0.7015534,0.9998788,0.4409955,0.6769522,0.1556392,0.7839518,0.228467,0.6519027,0.553919,0.4928029,0.3845208,0.5641471,0.4621802,0.5151822,0.466949,0.3841554,0.5319294,0.6426073,0.2157215,0.5014676,0.5183666,0.6186156,0.4339675,0.6995592,0.3193507,0.4390064,0.85884,0.0149229,0.4461894,0.5530303,0.6871612,0.2628964,0.5832328,0.7898407,0.7316505,0.5212475,0.6641243,0.5969782,0.2496289,0.3941416,0.7673636,0.7345847,0.6728467,0.6407647,0.6687774,0.1573748,0.6837105,0.6944037,0.7822913,0.0985963,0.8527715,0.8819626,0.2392716,65.9522762,34.5463345,185,51.0778434,126.1879275,68.6680944,38.6564862,202,50.9829079,138.9599188,79.7013401,30.6658943,202,68.9643265,130.2369274,253.0695505,22.041662,0.5820858,0.1467453,0.1434978,0.7958018,0.7064933,0.5922267,0.1616649,0.7894737,0.666755,0.6888273,-0.5922267,0.1616649,-0.1159737,-0.666755,-0.2943403,0.0134874,0.1033369,0.5263158,0.0294008,0.1251766,-10.4773175,20.2557851,-59,70,-14.1159144,23.8538581,116.8523374,26.2882888,210,106.2547522,162.3566179,0.7917699,0.6495662,63.2698456,0.7126633,0.8218155,0.7431703,12.8057965,0.5975589,5.7467388,25.345238,19.0859124,0.2229784
Plot_10,0.6555646,0.4664421,0.7868114,0.8351716,0.6202763,0.3592733,0.6293285,0.3610753,0.719416,0.6319887,0.7265576,0.5305776,0.3830795,0.3086411,0.3430064,0.5990486,0.6420336,0.4915751,0.6201327,0.2830596,0.6987681,0.5890726,0.6964735,0.3616775,0.6097245,0.7001272,0.2106548,0.8818289,0.6308174,0.1457932,0.5989084,0.6740767,0.5019754,0.468806,0.7444351,0.2861086,0.7378606,0.4795833,0.5165241,0.8176205,0.4839124,0.3167277,0.3960899,0.8093258,0.4106769,0.3038046,0.2736056,0.2748987,0.6195486,0.7384187,0.6912385,0.55824,0.4360291,0.8138494,0.4809804,0.6035998,0.6769334,0.5467377,0.5268278,0.5520664,0.0710386,0.8845165,0.7860431,0.7338026,0.7462903,0.5323454,0.5179607,0.2370681,0.6520699,0.3062028,0.437489,0.5686816,0.6974175,0.4793382,0.468382,0.4394445,0.3962704,0.5097617,0.4689996,0.5916193,0.2598501,0.5611955,0.6696565,0.549756,0.5333868,0.3601444,0.6937327,0.6416291,0.6462993,0.6777762,0.4380309,0.3691404,0.5296124,0.4932621,0.4390505,0.611489,0.5237591,0.457035,0.5451911,0.535961,0.4967527,0.6203376,0.6813504,0.385605,0.6886393,0.4208434,0.3686046,0.8038899,0.003631,0.3976684,0.5192221,0.5852591,0.3288082,0.4847491,0.71114,0.4696847,0.5129853,0.5157428,0.6458584,0.2243281,0.4918482,0.7563501,0.6144861,0.6585516,0.723863,0.5388334,0.5808023,0.8023097,0.3257027,0.769624,0.5353775,0.6028505,0.782788,0.0084127,78.3378058,36.2045833,204,67.1026645,135.2478499,90.3426726,37.4304929,211,79.977458,149.9471385,90.632805,35.3340716,224,79.9529517,146.3124739,253.238279,21.0411694,0.5174464,0.1533704,0.0944206,0.8345682,0.6954374,0.4899731,0.1491918,0.7406143,0.5225045,0.6162044,-0.4899731,0.1491918,-0.0944206,-0.5225045,-0.2591591,0.2140805,0.3621429,17.0000000,0.1666522,0.4064829,8.8661436,12.0523283,-24,51,11.8471252,26.8072594,128.1438547,27.3024828,224,120.257008,171.390614,0.6377988,0.4061043,69.5261736,0.6029501,0.2965227,0.2710494,13.3373442,0.5384567,4.4873443,19.9964029,17.2394684,0.1877942
